85,10,10,10,10
86,10,10,10,10
87,10,10,10,10
88,10,10,10,10
89,10,10,10,10
90,10,10,10,10
91,10,10,10,10
92,10,10,10,10
93,10,10,10,10
94,10,10,10,10
95,10,10,10,10
96,10,10,10,10
97,10,10,10,10
98,10,10,10,10
99,10,10,10,10
100,10,10,10,10
101,10,10,10,10
102,10,10,10,10
103,10,10,10,10
104,10,10,10,10
105,10,10,10,10
106,10,10,10,10
107,10,10,10,10
108,10,10,10,10
109,10,10,10,10
110,10,10,10,10
111,10,10,10,10
112,10,10,10,10
113,10,10,10,10
114,10,10,10,10
115,10,10,10,10
116,10,10,10,10
117,10,10,10,10
118,10,10,10,10
119,10,10,10,10
120,10,10,10,10
121,10,10,10,10
122,10,10,10,10
123,10,10,10,10
124,10,10,10,10
125,10,10,10,10
126,10,10,10,10
127,10,10,10,10
128,10,10,10,10
129,10,10,10,10
130,10,10,10,10
131,10,10,10,10
132,10,10,10,10
133,10,10,10,10
134,10,10,10,10
135,10,10,10,10
136,10,10,10,10
137,10,10,10,10
138,10,10,10,10
139,10,10,10,10
140,10,10,10,10
141,10,10,10,10
142,10,10,10,10
143,10,10,10,10
144,10,10,10,10
145,10,10,10,10
146,10,10,10,10
147,10,10,10,10
148,10,10,10,10
149,10,10,10,10
150,10,10,10,10
151,10,10,10,10
152,10,10,10,10
153,10,10,10,10
154,10,10,10,10
155,10,10,10,10
156,10,10,10,10
157,10,10,10,10
158,10,10,10,10
159,10,10,10,10
160,10,10,10,10
161,10,10,10,10
162,10,10,10,10
163,10,10,10,10
164,10,10,10,10
165,10,10,10,10
166,10,10,10,10
167,10,10,10,10
168,10,10,10,10
169,10,10,10,10
170,10,10,10,10
171,10,10,10,10
172,10,10,10,10
173,10,10,10,10
174,10,10,10,10
175,10,10,10,10
176,10,10,10,10
177,10,10,10,10
178,10,10,10,10
179,10,10,10,10
180,10,10,10,10
181,10,10,10,10
182,10,10,10,10
183,10,10,10,10
184,10,10,10,10
185,10,10,10,10
186,10,10,10,10
187,10,10,10,10
